index,dehumanize,dehumanize_confidence
0,4,0.6882719107921402
1,1,0.48503709536610756
2,1,0.6297145231360963
3,4,0.6113891279960704
4,1,0.5922175343225945
5,4,0.9731908836322369
6,4,0.9250059896827856
7,4,0.9982382475664868
8,3,0.8022923404531637
9,3,0.4579884543343849
10,1,0.7431191609026342
11,1,0.6522076492303709
12,0,0.7087968382554616
13,1,0.660113598770472
14,4,0.9997813318794246
15,2,0.5066149934872383
16,1,0.5157478869851775
17,3,0.6107123188015531
18,0,0.5860977559789858
19,1,0.7121501441004877
20,4,0.9591162775206273
21,0,0.9895160852404344
22,3,0.6363057294376716
23,0,0.5101159495149831
24,4,0.6252726709181686
25,1,0.4095465880595631
26,1,0.6557723619861204
27,0,0.7597646131523709
28,4,0.9976990879375817
29,3,0.814189445251557
30,2,0.5171675917513677
31,1,0.6254455994631483
32,1,0.4322814500404274
33,4,0.9158749101855761
34,0,0.9866891867003255
35,2,0.389053926850031
36,1,0.6693223445830598
37,3,0.8251358461555685
38,1,0.43667036475872323
39,1,0.48872989303535713
40,0,0.9696924384189128
41,2,0.36455707077578103
42,4,0.7034869617295944
43,4,0.9883009002315426
44,4,0.8628761432103551
45,3,0.6499459854424775
46,1,0.5318373011574755
47,4,0.9238249430422323
48,1,0.6953186715019619
49,4,0.9938932092083461
50,0,0.8562688961973582
51,1,0.49534116684540835
52,1,0.47677677279007175
53,0,0.8929902776790983
54,0,0.8269880004670993
55,0,0.982691929673221
56,3,0.7993788105544091
57,4,0.8800249459477671
58,4,0.9436704505170072
59,0,0.6723585615791059
60,3,0.7354127810349832
61,4,0.9924139100470212
62,1,0.49920677321137724
63,4,0.9999551620899242
64,4,0.6711654881622934
65,1,0.516911414927538
66,0,0.6901575825511463
67,4,0.8974907908387778
68,4,0.903753215689153
69,1,0.5236382682684337
70,3,0.8680608447131822
71,3,0.37162891197272213
72,4,0.83245467272953
73,1,0.6636880180168526
74,3,0.7397895405138114
75,0,0.9336795067002198
76,1,0.530672643361914
77,4,0.9686166342800725
78,4,0.657261717524551
79,4,0.999624840783018
80,3,0.49231545031528906
81,3,0.7057429637641038
82,0,0.9642731126213872
83,0,0.9851769120070962
84,4,0.7844219612254663
85,1,0.7252800857581044
